날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-14 07:49:09,ETH,매수,"3,075,138",0.075688,"232,750",583,-,"525,217"
2026-03-14 11:18:40,ETH,매도,"3,081,824",0.075688,"233,256",583,-77,"756,869"
