날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-20 20:23:16,H,매수,140,1422.155689,"199,500",500,-,"406,168"
2026-03-21 00:18:46,H,매도,142,1422.155689,"201,542",504,"1,538","1,004,791"
2026-03-21 08:03:42,H,매수,142,1402.125327,"199,500",500,-,"802,944"
2026-03-21 11:23:02,H,매도,145,1402.125327,"202,902",507,"2,894","805,339"
2026-03-21 12:17:17,H,매수,142,1402.125327,"199,500",500,-,"804,410"
2026-03-21 15:54:21,H,매도,144,1402.125327,"201,502",504,"1,498","1,005,409"
2026-03-23 09:24:06,H,매수,138,1442.766641,"199,500",500,-,"777,346"
2026-03-23 12:37:08,H,매도,140,1442.766641,"201,583",504,"1,579","978,425"
