날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-17 12:39:55,SOL,매수,"139,478",1.191941,"166,250",417,-,"380,045"
2026-03-17 13:25:10,SOL,매도,"138,223",1.191941,"164,754",412,"-1,908","784,344"
