날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-15 03:57:20,TRUMP,매수,"5,952",27.932351,"166,250",417,-,"831,466"
2026-03-15 05:09:49,TRUMP,매수,"5,902",14.084734,"83,125",208,-,"748,133"
2026-03-15 07:13:44,TRUMP,매도,"5,913",42.017085,"248,453",621,"-1,543","662,632"
2026-03-15 09:12:39,TRUMP,매수,"5,897",28.193401,"166,250",417,-,"829,220"
2026-03-15 13:16:12,TRUMP,매수,"5,802",14.327993,"83,125",208,-,"335,711"
2026-03-15 14:24:07,TRUMP,매도,"5,823",42.521394,"247,616",619,"-2,378","582,179"
2026-03-15 20:21:15,TRUMP,매수,"5,882",28.265445,"166,250",417,-,"827,587"
2026-03-15 22:49:08,TRUMP,매수,"5,807",14.315631,"83,125",208,-,"410,920"
2026-03-15 23:40:27,TRUMP,매도,"5,798",42.581076,"246,901",617,"-3,091","657,204"
2026-03-16 00:19:41,TRUMP,매수,"5,822",28.557343,"166,250",417,-,"655,084"
2026-03-16 04:12:20,TRUMP,매도,"5,928",28.557343,"169,291",423,"2,618","573,158"
2026-03-16 07:28:23,TRUMP,매수,"5,957",27.908858,"166,250",417,-,"631,739"
2026-03-16 07:55:32,TRUMP,매수,"5,897",14.096700,"83,125",208,-,"548,405"
2026-03-16 10:29:26,TRUMP,매도,"6,203",42.005559,"260,542",651,"10,516","644,422"
2026-03-16 16:13:20,TRUMP,매수,"5,887",28.241390,"166,250",417,-,"810,564"
2026-03-16 17:19:38,TRUMP,매수,"5,832",14.254138,"83,125",208,-,"560,564"
2026-03-16 21:24:10,TRUMP,매도,"5,649",42.495527,"240,044",600,"-9,931","799,549"
2026-03-17 13:16:08,TRUMP,매수,"5,606",29.654721,"166,250",417,-,"374,759"
2026-03-17 13:25:10,TRUMP,매도,"5,484",29.654721,"162,627",407,"-4,030","946,564"
