symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
BTC,-1.51,43.75,0.681,-3.86,16,21078.72,34.16,"{""횡보정리"": 6, ""동적익절"": 6, ""손절"": 2, ""강제청산"": 1, ""백테스트종료"": 1}"
XRP,-5.0,30.0,0.289,-6.59,20,25658.08,16.26,"{""손절"": 5, ""동적익절"": 5, ""횡보정리"": 9, ""백테스트종료"": 1}"
ETH,0.12,61.54,1.017,-3.79,26,33136.24,13.42,"{""손절"": 6, ""동적익절"": 15, ""횡보정리"": 4, ""백테스트종료"": 1}"
SOL,-0.8,60.0,0.869,-4.24,20,25413.29,14.99,"{""동적익절"": 12, ""손절"": 5, ""횡보정리"": 3}"
DOGE,-1.13,0.0,0.0,-1.3,2,2305.1,15.75,"{""손절"": 1, ""횡보정리"": 1}"
RAY,-0.41,66.67,0.554,-1.6,3,3839.7,6.42,"{""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
SKL,1.94,100.0,,-0.95,5,5881.84,6.63,"{""동적익절"": 4, ""백테스트종료"": 1}"
NOM,-0.01,80.0,0.998,-2.8,5,5833.18,1.13,"{""동적익절"": 4, ""손절"": 1}"
ILV,1.44,66.67,2.997,-1.82,3,3536.07,2.81,"{""손절"": 1, ""동적익절"": 2}"
GOAT,-2.43,62.5,0.618,-6.33,8,9972.55,0.97,"{""동적익절"": 5, ""손절"": 3}"
POPCAT,6.07,60.0,5.09,-1.94,5,5985.39,5.15,"{""손절"": 2, ""동적익절"": 2, ""백테스트종료"": 1}"
MINA,-0.42,75.0,0.894,-3.86,4,4656.22,8.19,"{""동적익절"": 3, ""손절"": 1}"
XVS,-2.09,60.0,0.55,-4.66,5,6131.05,1.43,"{""동적익절"": 3, ""손절"": 2}"
XYO,0.0,0.0,,0.0,0,0.0,0.0,{}
SOLV,2.49,84.62,1.407,-5.67,13,15229.11,16.03,"{""동적익절"": 11, ""손절"": 1, ""강제청산"": 1}"
AZIT,0.1,66.67,1.14,-1.09,3,3502.43,8.81,"{""동적익절"": 2, ""손절"": 1}"
WLD,-2.39,55.0,0.657,-5.63,20,25023.42,11.3,"{""동적익절"": 11, ""손절"": 7, ""횡보정리"": 2}"
FORT,-1.09,0.0,0.0,-1.21,1,1489.43,10.25,"{""손절"": 1}"
DAO,7.61,75.0,1.981,-7.66,16,19207.41,1.38,"{""동적익절"": 12, ""손절"": 4}"
RESOLV,-2.42,51.72,0.82,-7.13,29,34122.64,5.07,"{""동적익절"": 15, ""손절"": 14}"
STABLE,-0.71,40.0,0.582,-1.59,5,6165.56,4.97,"{""손절"": 2, ""동적익절"": 2, ""백테스트종료"": 1}"
KERNEL,-0.7,0.0,0.0,-0.76,1,1149.0,0.5,"{""손절"": 1}"
WIKEN,2.55,100.0,,-1.11,2,2747.22,0.33,"{""동적익절"": 2}"
ONT,0.37,63.64,1.1,-2.17,11,13542.62,3.36,"{""동적익절"": 7, ""손절"": 4}"
AVAIL,-0.61,66.67,0.679,-2.06,3,3484.63,0.61,"{""동적익절"": 2, ""손절"": 1}"
DBR,-1.08,0.0,0.0,-1.66,2,2306.22,15.88,"{""손절"": 1, ""백테스트종료"": 1}"
RPL,1.82,66.67,2.886,-1.38,3,3895.53,2.61,"{""동적익절"": 2, ""손절"": 1}"
G,-2.15,38.46,0.685,-5.55,13,15462.69,12.24,"{""횡보정리"": 1, ""동적익절"": 5, ""손절"": 5, ""강제청산"": 1, ""백테스트종료"": 1}"
BLUR,0.0,0.0,,0.0,0,0.0,0.0,{}
