symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
A8,0.05,46.67,1.007,-4.32,15,15001.18,5.95,"{""횡보정리"": 2, ""전략매도"": 2, ""동적익절"": 4, ""손절"": 6, ""백테스트종료"": 1}"
ACX,2.99,50.0,1.483,-4.61,14,14074.97,7.83,"{""손절"": 5, ""동적익절"": 6, ""횡보정리"": 2, ""전략매도"": 1}"
ADA,-2.68,44.0,0.525,-4.8,25,24932.85,10.81,"{""횡보정리"": 4, ""전략매도"": 18, ""손절"": 3}"
AGI,0.36,50.0,1.127,-1.94,6,6009.03,5.06,"{""동적익절"": 2, ""손절"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
AKT,-0.03,57.14,0.987,-2.35,7,6999.25,3.67,"{""트레일링스탑"": 4, ""손절"": 2, ""백테스트종료"": 1}"
ANIME,-3.39,25.0,0.188,-4.06,8,7915.06,9.78,"{""횡보정리"": 2, ""전략매도"": 2, ""손절"": 4}"
ANKR,0.95,55.56,1.225,-4.02,9,9023.89,4.85,"{""횡보정리"": 1, ""동적익절"": 3, ""손절"": 4, ""트레일링스탑"": 1}"
ATH,0.35,69.23,1.131,-2.66,13,13008.71,7.87,"{""전략매도"": 7, ""트레일링스탑"": 1, ""횡보정리"": 1, ""손절"": 2, ""동적익절"": 1, ""백테스트종료"": 1}"
AXS,2.4,80.0,19.558,-1.06,5,5060.15,8.17,"{""전략매도"": 4, ""동적익절"": 1}"
BARD,-0.23,0.0,0.0,-0.32,1,994.25,18.08,"{""횡보정리"": 1}"
BERA,0.31,60.0,1.305,-1.2,5,5007.85,9.33,"{""전략매도"": 4, ""손절"": 1}"
BLAST,-1.18,25.0,0.594,-3.08,8,7970.3,8.8,"{""횡보정리"": 2, ""전략매도"": 1, ""트레일링스탑"": 1, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
BOBA,-3.91,14.29,0.106,-5.12,7,6901.94,4.01,"{""전략매도"": 1, ""트레일링스탑"": 1, ""손절"": 4, ""백테스트종료"": 1}"
BSV,0.02,33.33,1.019,-1.91,3,3000.55,8.39,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
BTC,-0.42,37.93,0.887,-3.55,29,28989.53,10.24,"{""전략매도"": 28, ""횡보정리"": 1}"
BTR,-6.35,39.13,0.438,-7.51,23,22840.84,10.84,"{""손절"": 7, ""전략매도"": 8, ""횡보정리"": 2, ""동적익절"": 2, ""트레일링스탑"": 2, ""강제청산"": 1, ""백테스트종료"": 1}"
C,-1.33,46.15,0.804,-4.94,13,12966.79,3.08,"{""트레일링스탑"": 3, ""횡보정리"": 1, ""손절"": 6, ""동적익절"": 3}"
CAMP,5.22,83.33,6.238,-1.81,6,6130.93,8.51,"{""전략매도"": 3, ""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 1}"
CFG,2.29,33.33,1.4,-5.18,9,9057.46,2.06,"{""동적익절"": 1, ""손절"": 6, ""트레일링스탑"": 1, ""전략매도"": 1}"
CHR,0.17,50.0,1.089,-2.61,6,6004.33,6.5,"{""전략매도"": 2, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
COS,-2.98,43.75,0.688,-7.42,16,15925.32,2.29,"{""전략매도"": 1, ""동적익절"": 4, ""손절"": 9, ""트레일링스탑"": 2}"
CPOOL,3.4,66.67,20.596,-0.9,3,3085.09,11.5,"{""동적익절"": 2, ""횡보정리"": 1}"
CUDIS,3.43,70.0,2.123,-1.92,10,10086.02,3.14,"{""트레일링스탑"": 2, ""동적익절"": 3, ""손절"": 3, ""전략매도"": 1, ""백테스트종료"": 1}"
CVC,3.89,75.0,111.475,-0.69,4,4097.49,11.83,"{""횡보정리"": 1, ""전략매도"": 1, ""동적익절"": 2}"
DAO,-1.71,44.44,0.501,-3.22,9,8957.15,13.97,"{""전략매도"": 4, ""강제청산"": 1, ""트레일링스탑"": 2, ""손절"": 2}"
DEEP,2.33,52.94,1.604,-2.0,17,17058.44,11.04,"{""트레일링스탑"": 2, ""전략매도"": 5, ""횡보정리"": 5, ""동적익절"": 3, ""손절"": 1, ""백테스트종료"": 1}"
DKA,1.41,42.86,1.597,-1.61,7,7035.35,4.17,"{""전략매도"": 1, ""트레일링스탑"": 1, ""동적익절"": 2, ""손절"": 2, ""백테스트종료"": 1}"
DOGE,-0.51,47.37,0.914,-2.74,19,18987.3,14.39,"{""손절"": 4, ""전략매도"": 6, ""횡보정리"": 5, ""동적익절"": 3, ""트레일링스탑"": 1}"
DOOD,1.43,50.0,2.211,-2.02,6,6035.78,8.43,"{""횡보정리"": 1, ""동적익절"": 2, ""트레일링스탑"": 1, ""손절"": 1, ""백테스트종료"": 1}"
DOT,0.87,100.0,,-0.87,2,2021.79,11.12,"{""전략매도"": 2}"
EDGE,-1.77,33.33,0.033,-2.37,3,2955.66,7.03,"{""손절"": 2, ""백테스트종료"": 1}"
ENA,-0.45,33.33,0.592,-1.28,3,2988.81,6.89,"{""전략매도"": 1, ""손절"": 1, ""백테스트종료"": 1}"
ENJ,5.39,77.78,3.501,-2.76,9,9134.98,7.19,"{""횡보정리"": 1, ""동적익절"": 4, ""전략매도"": 1, ""트레일링스탑"": 1, ""손절"": 2}"
ENSO,-4.42,26.67,0.43,-5.99,15,14889.13,10.5,"{""트레일링스탑"": 1, ""손절"": 5, ""횡보정리"": 3, ""동적익절"": 2, ""전략매도"": 3, ""백테스트종료"": 1}"
EPT,0.21,42.86,1.065,-3.37,7,7005.28,9.48,"{""전략매도"": 1, ""트레일링스탑"": 1, ""횡보정리"": 1, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
ETH,-1.22,41.38,0.759,-3.52,29,28969.38,10.19,"{""트레일링스탑"": 2, ""횡보정리"": 3, ""전략매도"": 22, ""손절"": 2}"
F,-4.32,22.22,0.366,-5.82,18,17891.69,11.23,"{""전략매도"": 7, ""손절"": 5, ""횡보정리"": 4, ""동적익절"": 1, ""백테스트종료"": 1}"
