symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-0.77,0.0,0.0,-1.19,1,1147.26,2.42,"{""손절"": 1}"
A8,-3.27,50.0,0.635,-7.46,16,20684.81,5.09,"{""동적익절"": 5, ""손절"": 7, ""횡보정리"": 1, ""트레일링스탑"": 3}"
ACS,0.0,0.0,,0.0,0,0.0,0.0,{}
ACX,1.06,50.0,87.613,-1.02,2,2710.0,1.04,"{""트레일링스탑"": 1, ""동적익절"": 1}"
ADA,-4.77,33.33,0.342,-6.24,15,18780.49,15.16,"{""손절"": 7, ""동적익절"": 4, ""횡보정리"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ADP,0.47,50.0,1.214,-1.89,4,4678.36,1.92,"{""손절"": 2, ""동적익절"": 2}"
AERO,-0.79,0.0,0.0,-1.25,2,2313.61,4.96,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-1.3,33.33,0.087,-2.05,3,3467.38,4.31,"{""트레일링스탑"": 1, ""손절"": 2}"
AKT,-0.82,62.5,0.596,-2.33,8,10362.87,3.31,"{""트레일링스탑"": 6, ""손절"": 2}"
AL,0.96,100.0,,-0.78,2,2707.46,6.92,"{""동적익절"": 1, ""백테스트종료"": 1}"
AMO,2.09,100.0,,-0.36,1,1219.1,23.0,"{""동적익절"": 1}"
AMP,-0.89,33.33,0.495,-1.3,3,3477.69,7.08,"{""손절"": 2, ""동적익절"": 1}"
ANIME,-0.31,42.86,0.885,-3.35,7,8508.93,6.98,"{""횡보정리"": 1, ""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 2}"
ANKR,-4.06,16.67,0.129,-4.98,6,7248.27,4.33,"{""동적익절"": 1, ""손절"": 5}"
ATH,2.16,60.0,1.454,-3.21,15,18954.07,6.42,"{""동적익절"": 8, ""손절"": 5, ""트레일링스탑"": 2}"
AVAIL,-0.79,66.67,0.588,-2.06,3,3480.28,0.69,"{""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 1}"
AXS,2.5,66.67,71.026,-0.54,3,3562.54,6.19,"{""동적익절"": 2, ""백테스트종료"": 1}"
AZIT,-0.52,33.33,0.431,-1.58,3,3487.02,9.44,"{""동적익절"": 1, ""트레일링스탑"": 1, ""손절"": 1}"
B3,0.41,60.0,1.404,-1.79,5,5843.54,0.87,"{""트레일링스탑"": 2, ""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
BARD,0.0,0.0,,0.0,0,0.0,0.0,{}
BERA,0.02,50.0,1.028,-0.82,2,2333.81,7.33,"{""동적익절"": 1, ""손절"": 1}"
BIOT,-1.36,50.0,0.176,-2.34,2,2299.2,9.62,"{""손절"": 1, ""백테스트종료"": 1}"
BLAST,-0.21,33.33,0.3,-1.02,3,3844.71,11.33,"{""횡보정리"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BLUR,0.0,0.0,,0.0,0,0.0,0.0,{}
BLY,0.43,50.0,1.086,-4.86,4,4677.43,0.27,"{""동적익절"": 2, ""손절"": 2}"
BOB,-1.56,0.0,0.0,-1.71,2,2294.3,5.17,"{""손절"": 2}"
BOBA,-2.15,33.33,0.552,-3.59,9,11496.04,3.52,"{""손절"": 5, ""트레일링스탑"": 1, ""동적익절"": 2, ""백테스트종료"": 1}"
BSV,-1.57,0.0,0.0,-1.69,2,2294.03,1.58,"{""손절"": 2}"
BTC,-1.07,40.0,0.762,-3.23,15,19223.29,36.06,"{""횡보정리"": 6, ""동적익절"": 4, ""손절"": 2, ""트레일링스탑"": 1, ""강제청산"": 1, ""백테스트종료"": 1}"
BTR,-17.56,11.76,0.129,-18.76,17,22193.11,5.12,"{""손절"": 12, ""트레일링스탑"": 3, ""동적익절"": 2}"
C,-1.43,54.55,0.766,-5.46,11,13497.58,3.77,"{""트레일링스탑"": 1, ""동적익절"": 5, ""손절"": 5}"
CAMP,9.66,77.78,9.469,-0.94,9,11092.17,2.84,"{""동적익절"": 6, ""손절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
CFG,-1.6,50.0,0.309,-2.9,6,6959.9,2.18,"{""트레일링스탑"": 3, ""손절"": 3}"
CHR,-0.1,33.33,0.917,-1.57,3,4197.41,5.39,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
CORE,0.0,0.0,,0.0,0,0.0,0.0,{}
COS,-5.15,38.46,0.194,-7.15,13,15737.68,2.72,"{""손절"": 6, ""동적익절"": 1, ""트레일링스탑"": 6}"
CPOOL,4.86,87.5,22.058,-0.89,8,9805.02,8.68,"{""동적익절"": 5, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
CRTS,-2.28,0.0,0.0,-2.41,2,2626.23,2.29,"{""손절"": 2}"
CSPR,-3.54,28.57,0.245,-4.41,7,8777.97,7.19,"{""손절"": 5, ""트레일링스탑"": 1, ""동적익절"": 1}"
CUDIS,0.89,75.0,1.814,-2.22,4,5038.98,4.02,"{""트레일링스탑"": 1, ""손절"": 1, ""동적익절"": 2}"
CVC,-0.04,75.0,0.948,-1.49,4,4665.59,12.9,"{""동적익절"": 1, ""트레일링스탑"": 2, ""손절"": 1}"
CYS,-0.41,53.85,0.924,-4.44,13,15506.33,2.85,"{""동적익절"": 3, ""손절"": 6, ""트레일링스탑"": 4}"
