날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-04-06 21:43:28,XVS,매수,"5,782",40.257440,"232,750",583,-,"502,456"
2026-04-06 23:23:43,XVS,매도,"5,988",40.257440,"241,062",603,"7,709","742,915"
