symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
THE,-1.83,36.36,0.448,-3.35,11,10370.75,7.77,"{""동적익절"": 2, ""전략매도"": 2, ""횡보정리"": 3, ""손절"": 3, ""백테스트종료"": 1}"
TOWNS,0.49,69.23,1.127,-2.6,13,14179.07,4.29,"{""전략매도"": 5, ""손절"": 4, ""횡보정리"": 1, ""트레일링스탑"": 1, ""동적익절"": 2}"
TRUMP,-3.4,38.1,0.534,-5.41,21,21998.1,7.59,"{""전략매도"": 9, ""횡보정리"": 3, ""손절"": 6, ""동적익절"": 3}"
TURBO,-1.06,55.56,0.806,-3.91,18,18306.66,8.66,"{""동적익절"": 4, ""손절"": 5, ""전략매도"": 3, ""횡보정리"": 5, ""백테스트종료"": 1}"
VIRTUAL,-1.17,45.45,0.739,-3.64,22,22887.4,8.8,"{""횡보정리"": 5, ""동적익절"": 2, ""전략매도"": 10, ""손절"": 4, ""트레일링스탑"": 1}"
WLD,-0.7,51.85,0.833,-3.68,27,24982.35,7.62,"{""횡보정리"": 5, ""전략매도"": 17, ""손절"": 2, ""동적익절"": 2, ""백테스트종료"": 1}"
WLFI,-0.62,50.0,0.36,-1.33,6,5817.79,6.61,"{""전략매도"": 3, ""횡보정리"": 2, ""백테스트종료"": 1}"
XAI,-2.68,16.67,0.232,-3.53,6,6599.38,2.65,"{""트레일링스탑"": 1, ""손절"": 3, ""동적익절"": 1, ""백테스트종료"": 1}"
XAN,1.0,56.25,1.2,-4.8,16,13774.99,4.8,"{""전략매도"": 2, ""횡보정리"": 2, ""동적익절"": 7, ""손절"": 5}"
XCN,1.01,50.0,1.472,-2.03,8,8775.4,6.66,"{""횡보정리"": 2, ""동적익절"": 3, ""손절"": 2, ""백테스트종료"": 1}"
XLM,-0.08,54.55,0.971,-2.5,22,20831.32,9.91,"{""횡보정리"": 10, ""전략매도"": 11, ""손절"": 1}"
XRP,-0.25,44.0,0.854,-2.06,25,22910.42,7.6,"{""횡보정리"": 6, ""전략매도"": 18, ""백테스트종료"": 1}"
XVS,0.53,66.67,2.065,-0.92,6,5430.06,6.83,"{""횡보정리"": 3, ""트레일링스탑"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
