symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-1.39,0.0,0.0,-1.86,2,2298.42,2.42,"{""손절"": 2}"
A8,-0.25,52.94,0.957,-5.4,17,19827.03,3.59,"{""동적익절"": 7, ""손절"": 7, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
ACE,-2.31,0.0,0.0,-2.85,2,2275.31,4.46,"{""손절"": 2}"
ACS,0.0,0.0,,0.0,0,0.0,0.0,{}
ACX,-1.32,0.0,0.0,-1.83,1,1133.59,5.75,"{""손절"": 1}"
ADA,-4.46,16.67,0.172,-5.25,12,13888.31,10.26,"{""손절"": 8, ""횡보정리"": 2, ""동적익절"": 2}"
ADP,0.47,50.0,1.214,-1.89,4,4678.36,1.92,"{""손절"": 2, ""동적익절"": 2}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-1.2,33.33,0.093,-1.95,3,3469.83,3.97,"{""트레일링스탑"": 1, ""손절"": 2}"
AHT,1.4,50.0,3.325,-1.03,2,2368.3,3.33,"{""동적익절"": 1, ""손절"": 1}"
AKT,-0.66,50.0,0.769,-2.21,8,9316.71,3.25,"{""손절"": 4, ""동적익절"": 2, ""트레일링스탑"": 2}"
AL,-1.62,20.0,0.351,-2.23,5,5792.69,18.7,"{""손절"": 4, ""강제청산"": 1}"
ALICE,0.98,60.0,1.61,-2.09,5,5858.0,0.92,"{""동적익절"": 3, ""손절"": 2}"
ALT,-1.01,33.33,0.348,-1.57,6,6974.68,22.96,"{""손절"": 2, ""트레일링스탑"": 1, ""강제청산"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
AMO,2.09,100.0,,-0.36,1,1219.1,23.0,"{""동적익절"": 1}"
AMP,-0.89,33.33,0.495,-1.3,3,3477.69,7.08,"{""손절"": 2, ""동적익절"": 1}"
ANIME,-0.09,42.86,0.96,-2.85,7,8164.46,6.87,"{""횡보정리"": 1, ""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 2}"
ANKR,-3.91,16.67,0.094,-4.59,6,6902.07,3.53,"{""동적익절"": 1, ""손절"": 5}"
API3,0.4,60.0,1.256,-1.64,5,5843.29,5.47,"{""동적익절"": 3, ""손절"": 2}"
ARKM,0.23,100.0,,-1.01,1,1172.54,2.25,"{""트레일링스탑"": 1}"
ATH,1.87,62.5,1.483,-2.54,16,18713.61,5.83,"{""동적익절"": 8, ""트레일링스탑"": 2, ""손절"": 6}"
AUDIO,-3.06,20.0,0.192,-4.16,5,5756.7,0.88,"{""손절"": 3, ""트레일링스탑"": 1, ""동적익절"": 1}"
AVAIL,-0.62,66.67,0.587,-1.64,3,3484.59,0.61,"{""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 1}"
AVL,-2.7,25.0,0.419,-3.76,8,9265.77,11.66,"{""손절"": 4, ""동적익절"": 2, ""강제청산"": 1, ""백테스트종료"": 1}"
AXS,2.5,66.67,71.026,-0.54,3,3562.54,6.19,"{""동적익절"": 2, ""백테스트종료"": 1}"
AZIT,-0.91,20.0,0.316,-2.18,5,5810.55,6.33,"{""동적익절"": 1, ""트레일링스탑"": 2, ""손절"": 1, ""백테스트종료"": 1}"
B3,1.47,60.0,2.455,-1.56,5,5870.09,0.83,"{""동적익절"": 3, ""손절"": 1, ""백테스트종료"": 1}"
BARD,-0.39,0.0,0.0,-0.54,1,1156.77,4.58,"{""백테스트종료"": 1}"
BEL,1.07,66.67,1.655,-1.69,6,7026.76,3.11,"{""동적익절"": 3, ""손절"": 2, ""트레일링스탑"": 1}"
BERA,0.73,42.86,1.368,-1.43,7,8184.94,5.79,"{""동적익절"": 3, ""손절"": 3, ""횡보정리"": 1}"
BIO,-3.78,25.0,0.296,-5.36,8,9238.52,3.06,"{""손절"": 6, ""동적익절"": 2}"
BIOT,-2.98,0.0,0.0,-3.15,3,3425.34,5.78,"{""손절"": 3}"
BLAST,-0.21,33.33,0.304,-1.02,3,3494.8,10.25,"{""횡보정리"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BLUR,-2.5,38.46,0.539,-4.08,13,15104.13,3.28,"{""손절"": 8, ""트레일링스탑"": 2, ""동적익절"": 3}"
BLY,-1.95,25.0,0.606,-3.19,4,4617.87,0.17,"{""손절"": 3, ""동적익절"": 1}"
BNT,0.4,100.0,,-0.4,1,1176.6,18.75,"{""동적익절"": 1}"
BOB,-1.97,46.15,0.539,-3.73,13,15117.3,2.35,"{""손절"": 6, ""트레일링스탑"": 5, ""동적익절"": 2}"
BOBA,1.87,62.5,2.052,-2.37,8,9380.27,67.86,"{""손절"": 3, ""동적익절"": 4, ""강제청산"": 1}"
