symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
0G,-1.39,0.0,0.0,-1.86,2,2298.42,2.42,"{""손절"": 2}"
A8,0.44,50.0,1.117,-3.25,12,14011.02,3.42,"{""동적익절"": 5, ""손절"": 5, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ACE,-1.31,50.0,0.154,-2.27,2,2300.5,2.96,"{""손절"": 1, ""트레일링스탑"": 1}"
ACS,0.0,0.0,,0.0,0,0.0,0.0,{}
ACX,-1.32,0.0,0.0,-1.83,1,1133.59,5.75,"{""손절"": 1}"
ADA,-3.87,18.18,0.193,-4.6,11,12736.33,10.24,"{""손절"": 7, ""횡보정리"": 2, ""동적익절"": 2}"
ADP,-0.61,33.33,0.721,-1.89,3,3484.7,1.75,"{""손절"": 2, ""동적익절"": 1}"
AERO,-0.65,0.0,0.0,-1.11,2,2316.97,4.71,"{""손절"": 1, ""백테스트종료"": 1}"
AGI,-0.48,50.0,0.205,-1.17,2,2321.32,3.58,"{""트레일링스탑"": 1, ""손절"": 1}"
AHT,2.0,100.0,,-0.1,1,1216.67,0.17,"{""동적익절"": 1}"
AKT,-0.85,42.86,0.702,-2.34,7,8145.28,3.6,"{""손절"": 4, ""동적익절"": 2, ""트레일링스탑"": 1}"
AL,-0.87,25.0,0.501,-1.42,4,4644.74,22.88,"{""손절"": 3, ""강제청산"": 1}"
ALICE,1.87,60.0,3.597,-1.63,5,5880.31,1.07,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 1}"
ALT,-0.85,40.0,0.389,-1.35,5,5812.09,8.58,"{""손절"": 2, ""트레일링스탑"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
AMO,2.09,100.0,,-0.36,1,1219.1,23.0,"{""동적익절"": 1}"
AMP,-1.65,33.33,0.347,-2.06,3,3458.7,6.94,"{""손절"": 2, ""동적익절"": 1}"
ANIME,0.2,40.0,1.121,-2.45,5,5838.29,8.35,"{""횡보정리"": 1, ""손절"": 2, ""동적익절"": 2}"
ANKR,-3.2,20.0,0.112,-3.82,5,5753.13,4.13,"{""동적익절"": 1, ""손절"": 4}"
API3,1.95,100.0,,-1.05,3,3548.92,8.06,"{""동적익절"": 3}"
ARKM,0.23,100.0,,-1.01,1,1172.54,2.25,"{""트레일링스탑"": 1}"
ATH,2.57,69.23,1.967,-1.93,13,15231.19,6.1,"{""동적익절"": 8, ""손절"": 4, ""트레일링스탑"": 1}"
AUDIO,-1.93,33.33,0.273,-2.92,3,3451.59,0.58,"{""손절"": 2, ""동적익절"": 1}"
AVAIL,-0.62,66.67,0.587,-1.64,3,3484.59,0.61,"{""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 1}"
AVL,-0.56,28.57,0.778,-2.03,7,8152.71,5.99,"{""손절"": 3, ""동적익절"": 2, ""횡보정리"": 1, ""백테스트종료"": 1}"
AXS,2.53,100.0,,-0.51,2,2396.76,5.12,"{""동적익절"": 2}"
AZIT,-0.26,25.0,0.617,-1.48,4,4660.14,7.25,"{""동적익절"": 1, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
B3,0.74,50.0,1.731,-1.56,4,4685.12,0.96,"{""동적익절"": 2, ""손절"": 1, ""백테스트종료"": 1}"
BARD,-0.39,0.0,0.0,-0.54,1,1156.77,4.58,"{""백테스트종료"": 1}"
BEL,2.03,80.0,4.008,-0.87,5,5884.1,3.18,"{""동적익절"": 3, ""트레일링스탑"": 1, ""손절"": 1}"
BERA,0.36,40.0,1.266,-1.67,5,5842.24,7.9,"{""동적익절"": 2, ""손절"": 2, ""횡보정리"": 1}"
BIO,-0.81,40.0,0.664,-2.18,5,5813.14,3.33,"{""손절"": 3, ""동적익절"": 2}"
BIOT,-2.38,0.0,0.0,-2.49,2,2273.76,4.12,"{""손절"": 2}"
BLAST,-0.21,33.33,0.304,-1.02,3,3494.8,10.25,"{""횡보정리"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
BLUR,-2.13,36.36,0.559,-4.29,11,12779.94,3.7,"{""손절"": 7, ""동적익절"": 3, ""트레일링스탑"": 1}"
BLY,-3.71,25.0,0.447,-4.93,4,4573.68,0.15,"{""손절"": 3, ""동적익절"": 1}"
BNT,0.4,100.0,,-0.4,1,1176.6,18.75,"{""동적익절"": 1}"
BOB,-3.4,14.29,0.076,-3.84,7,8081.47,1.57,"{""손절"": 5, ""트레일링스탑"": 2}"
BOBA,0.97,50.0,1.548,-2.53,6,7024.44,86.88,"{""손절"": 3, ""강제청산"": 1, ""동적익절"": 2}"
BREV,-0.69,0.0,0.0,-1.18,1,1149.41,2.0,"{""손절"": 1}"
BSV,-0.81,0.0,0.0,-0.87,1,1146.26,0.83,"{""손절"": 1}"
BTC,-0.52,35.71,0.763,-2.06,14,16320.35,20.99,"{""횡보정리"": 7, ""동적익절"": 5, ""손절"": 1, ""백테스트종료"": 1}"
BTR,-2.04,61.9,0.785,-7.21,21,24448.97,3.6,"{""동적익절"": 9, ""손절"": 8, ""트레일링스탑"": 4}"
C,-2.47,45.45,0.596,-5.7,11,12771.46,2.85,"{""동적익절"": 5, ""손절"": 6}"
CAMP,7.14,71.43,8.07,-0.82,7,8345.56,2.11,"{""동적익절"": 4, ""손절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
CFG,-1.29,44.44,0.656,-2.84,9,10467.74,2.06,"{""동적익절"": 2, ""손절"": 5, ""트레일링스탑"": 2}"
CHR,-0.92,50.0,0.611,-3.09,6,6976.88,2.69,"{""트레일링스탑"": 2, ""손절"": 3, ""동적익절"": 1}"
CKB,-0.29,0.0,0.0,-0.5,2,2326.0,12.5,"{""횡보정리"": 1, ""백테스트종료"": 1}"
COMP,-0.04,66.67,0.929,-0.91,3,3498.98,4.14,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
CORE,-0.58,42.86,0.798,-3.8,7,8152.04,2.27,"{""트레일링스탑"": 1, ""손절"": 4, ""동적익절"": 2}"
COS,-7.1,23.08,0.122,-8.13,13,14988.72,3.67,"{""손절"": 9, ""동적익절"": 1, ""트레일링스탑"": 3}"
CPOOL,3.45,100.0,,-0.9,7,8253.21,9.17,"{""동적익절"": 5, ""트레일링스탑"": 2}"
CRTS,-2.23,0.0,0.0,-2.34,2,2277.5,1.96,"{""손절"": 2}"
CSPR,-1.72,33.33,0.416,-2.36,6,6956.99,6.72,"{""손절"": 4, ""동적익절"": 2}"
CTSI,1.94,75.0,2.064,-1.45,8,9381.96,2.75,"{""동적익절"": 4, ""트레일링스탑"": 2, ""손절"": 2}"
CUDIS,-1.42,33.33,0.079,-2.11,3,3464.45,3.14,"{""트레일링스탑"": 1, ""손절"": 2}"
CVC,0.14,75.0,1.206,-1.32,4,4670.1,12.65,"{""동적익절"": 1, ""트레일링스탑"": 2, ""손절"": 1}"
CYS,-6.91,45.83,0.469,-9.76,24,27826.85,1.68,"{""동적익절"": 6, ""손절"": 13, ""트레일링스탑"": 5}"
D,-0.08,43.75,0.989,-3.59,16,18664.72,1.86,"{""손절"": 7, ""동적익절"": 5, ""트레일링스탑"": 3, ""백테스트종료"": 1}"
DAO,8.27,71.43,2.67,-4.05,14,16540.64,2.08,"{""동적익절"": 8, ""트레일링스탑"": 2, ""손절"": 4}"
DBR,-1.38,0.0,0.0,-1.71,2,2298.87,13.17,"{""손절"": 2}"
