symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
A8,0.05,46.67,1.007,-5.03,15,17501.37,5.95,"{""횡보정리"": 2, ""전략매도"": 2, ""동적익절"": 4, ""손절"": 6, ""백테스트종료"": 1}"
ACX,2.28,44.44,1.261,-5.95,18,21057.16,8.02,"{""손절"": 6, ""동적익절"": 6, ""횡보정리"": 3, ""전략매도"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
ADA,-4.58,38.71,0.483,-6.69,31,36051.85,10.84,"{""전략매도"": 22, ""횡보정리"": 5, ""손절"": 3, ""트레일링스탑"": 1}"
AGI,0.42,50.0,1.127,-2.26,6,7010.53,5.06,"{""동적익절"": 2, ""손절"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
AKT,-0.04,57.14,0.987,-2.74,7,8165.79,3.67,"{""트레일링스탑"": 4, ""손절"": 2, ""백테스트종료"": 1}"
ANIME,-3.95,25.0,0.188,-4.74,8,9234.24,9.78,"{""횡보정리"": 2, ""전략매도"": 2, ""손절"": 4}"
ANKR,1.11,55.56,1.225,-4.65,9,10527.88,4.85,"{""횡보정리"": 1, ""동적익절"": 3, ""손절"": 4, ""트레일링스탑"": 1}"
ATH,0.41,69.23,1.131,-3.1,13,15176.83,7.87,"{""전략매도"": 7, ""트레일링스탑"": 1, ""횡보정리"": 1, ""손절"": 2, ""동적익절"": 1, ""백테스트종료"": 1}"
AXS,2.8,80.0,19.558,-1.23,5,5903.5,8.17,"{""전략매도"": 4, ""동적익절"": 1}"
BARD,-4.45,0.0,0.0,-4.74,5,5721.91,7.37,"{""횡보정리"": 2, ""손절"": 3}"
BERA,0.37,60.0,1.305,-1.4,5,5842.49,9.33,"{""전략매도"": 4, ""손절"": 1}"
BLAST,-1.38,25.0,0.594,-3.58,8,9298.69,8.8,"{""횡보정리"": 2, ""전략매도"": 1, ""트레일링스탑"": 1, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
BOBA,-4.56,14.29,0.106,-5.96,7,8052.27,4.01,"{""전략매도"": 1, ""트레일링스탑"": 1, ""손절"": 4, ""백테스트종료"": 1}"
BSV,0.03,33.33,1.019,-2.22,3,3500.64,8.39,"{""동적익절"": 1, ""손절"": 1, ""백테스트종료"": 1}"
BTC,-0.48,38.71,0.891,-4.32,31,36154.53,10.85,"{""횡보정리"": 2, ""전략매도"": 29}"
BTR,-7.99,41.94,0.513,-10.72,31,35966.48,9.2,"{""전략매도"": 12, ""손절"": 9, ""횡보정리"": 2, ""동적익절"": 3, ""트레일링스탑"": 3, ""강제청산"": 1, ""백테스트종료"": 1}"
C,-1.55,46.15,0.804,-5.73,13,15127.92,3.08,"{""트레일링스탑"": 3, ""횡보정리"": 1, ""손절"": 6, ""동적익절"": 3}"
CAMP,6.09,83.33,6.238,-2.09,6,7152.76,8.51,"{""전략매도"": 3, ""동적익절"": 1, ""손절"": 1, ""트레일링스탑"": 1}"
CFG,1.56,27.27,1.199,-7.05,11,12872.33,3.84,"{""전략매도"": 2, ""동적익절"": 1, ""손절"": 7, ""트레일링스탑"": 1}"
CHR,0.2,50.0,1.089,-3.03,6,7005.05,6.5,"{""전략매도"": 2, ""동적익절"": 1, ""손절"": 2, ""백테스트종료"": 1}"
COS,-9.37,33.33,0.468,-14.49,24,27765.1,3.2,"{""전략매도"": 3, ""동적익절"": 4, ""손절"": 14, ""트레일링스탑"": 3}"
CPOOL,3.96,66.67,20.596,-1.04,3,3599.28,11.5,"{""동적익절"": 2, ""횡보정리"": 1}"
CUDIS,1.84,60.0,1.485,-2.28,10,11712.72,3.88,"{""트레일링스탑"": 2, ""횡보정리"": 1, ""손절"": 3, ""동적익절"": 2, ""전략매도"": 1, ""백테스트종료"": 1}"
CVC,4.54,75.0,111.475,-0.8,4,4780.4,11.83,"{""횡보정리"": 1, ""전략매도"": 1, ""동적익절"": 2}"
DAO,-1.99,44.44,0.501,-3.75,9,10450.0,13.97,"{""전략매도"": 4, ""강제청산"": 1, ""트레일링스탑"": 2, ""손절"": 2}"
DEEP,2.74,52.63,1.494,-2.35,19,22235.31,10.6,"{""손절"": 2, ""트레일링스탑"": 2, ""전략매도"": 6, ""횡보정리"": 5, ""동적익절"": 3, ""백테스트종료"": 1}"
