symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
PHA,-1.05,25.0,0.459,-1.72,4,4640.34,1.46,"{""손절"": 3, ""동적익절"": 1}"
PIEVERSE,-1.28,55.56,0.744,-4.41,9,10467.8,1.77,"{""손절"": 4, ""동적익절"": 4, ""트레일링스탑"": 1}"
PLUME,1.82,80.0,3.762,-0.99,5,5878.91,1.53,"{""손절"": 1, ""동적익절"": 3, ""백테스트종료"": 1}"
POLA,1.28,62.5,1.623,-1.8,8,9365.49,4.39,"{""손절"": 3, ""동적익절"": 3, ""트레일링스탑"": 2}"
POLYX,1.33,80.0,2.102,-1.24,5,5866.55,2.35,"{""트레일링스탑"": 3, ""동적익절"": 1, ""손절"": 1}"
PONKE,-0.5,50.0,0.818,-2.86,8,9320.73,3.98,"{""동적익절"": 3, ""손절"": 4, ""트레일링스탑"": 1}"
POPCAT,3.61,50.0,7.085,-0.89,2,2423.72,10.5,"{""손절"": 1, ""동적익절"": 1}"
PROMPT,0.98,66.67,2.561,-0.83,3,3524.47,1.42,"{""손절"": 1, ""동적익절"": 2}"
PROVE,-0.43,50.0,0.305,-1.2,2,2322.56,5.38,"{""손절"": 1, ""트레일링스탑"": 1}"
PUFFER,0.7,57.14,1.216,-3.62,7,8184.3,1.21,"{""동적익절"": 4, ""손절"": 3}"
PUMPBTC,0.89,66.67,1.475,-1.93,9,10522.4,3.49,"{""트레일링스탑"": 4, ""동적익절"": 2, ""손절"": 3}"
PYR,-0.73,0.0,0.0,-0.79,1,1148.26,0.83,"{""손절"": 1}"
RAD,0.14,66.67,1.093,-1.56,3,3503.56,2.5,"{""동적익절"": 2, ""손절"": 1}"
RAY,-0.43,66.67,0.265,-0.97,3,3489.13,6.81,"{""손절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
RECALL,-0.26,50.0,0.575,-1.09,2,2326.72,3.04,"{""손절"": 1, ""트레일링스탑"": 1}"
RED,-1.11,25.0,0.494,-2.72,4,4638.74,1.58,"{""동적익절"": 1, ""손절"": 3}"
REI,0.32,33.33,1.251,-1.36,3,3507.95,2.69,"{""동적익절"": 1, ""손절"": 2}"
RENDER,3.08,100.0,,-0.7,5,5910.61,3.3,"{""동적익절"": 4, ""트레일링스탑"": 1}"
REQ,31.96,83.33,47.41,-0.83,6,7801.0,5.1,"{""동적익절"": 5, ""손절"": 1}"
RESOLV,3.14,75.0,6.481,-1.66,4,4745.41,4.12,"{""동적익절"": 3, ""손절"": 1}"
REZ,-0.78,25.0,0.568,-1.54,4,4647.15,6.62,"{""횡보정리"": 1, ""동적익절"": 1, ""손절"": 2}"
ROBO,-2.85,0.0,0.0,-3.25,3,3428.66,2.58,"{""손절"": 3}"
RON,-0.74,50.0,0.462,-1.4,4,4648.12,5.6,"{""동적익절"": 1, ""손절"": 2, ""트레일링스탑"": 1}"
RPL,-1.4,50.0,0.222,-2.17,2,2298.15,2.67,"{""트레일링스탑"": 1, ""손절"": 1}"
RSS3,1.89,75.0,10.992,-1.1,4,4714.06,5.02,"{""동적익절"": 2, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
RVN,6.22,66.67,11.597,-1.1,3,3655.97,8.75,"{""손절"": 1, ""동적익절"": 1, ""백테스트종료"": 1}"
SAFE,1.29,50.0,2.989,-1.29,2,2365.59,8.71,"{""손절"": 1, ""동적익절"": 1}"
SAHARA,1.32,75.0,3.051,-1.26,4,4699.65,5.35,"{""동적익절"": 3, ""손절"": 1}"
SAPIEN,0.6,66.67,1.788,-0.81,3,3515.07,2.72,"{""동적익절"": 2, ""손절"": 1}"
SEI,0.05,50.0,1.134,-0.59,2,2334.51,12.96,"{""동적익절"": 1, ""백테스트종료"": 1}"
SENT,0.46,50.0,3.24,-0.87,2,2344.94,4.12,"{""동적익절"": 1, ""백테스트종료"": 1}"
SHELL,2.61,75.0,4.162,-1.1,4,4732.02,6.25,"{""손절"": 1, ""동적익절"": 3}"
SHIB,-0.65,0.0,0.0,-0.71,1,1150.42,2.83,"{""손절"": 1}"
SIGN,0.02,100.0,,-0.52,1,1167.06,7.08,"{""백테스트종료"": 1}"
SIX,3.39,80.0,6.839,-1.01,5,5918.34,1.95,"{""손절"": 1, ""동적익절"": 4}"
