symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
SIGN,8.01,78.95,4.328,-1.01,19,16450.69,4.91,"{""손절"": 4, ""동적익절"": 10, ""트레일링스탑"": 5}"
SOL,1.15,50.0,1.356,-2.02,16,15445.56,17.07,"{""동적익절"": 8, ""손절"": 3, ""횡보정리"": 4, ""백테스트종료"": 1}"
SOLV,1.47,60.0,3.143,-0.76,5,4203.56,4.88,"{""동적익절"": 2, ""손절"": 1, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
STABLE,-0.22,50.0,0.825,-0.96,4,3744.44,6.29,"{""손절"": 2, ""동적익절"": 1, ""백테스트종료"": 1}"
STEEM,-0.94,0.0,0.0,-1.08,2,1643.16,7.33,"{""손절"": 1, ""백테스트종료"": 1}"
SUI,0.22,46.67,1.078,-1.77,15,14172.11,16.39,"{""동적익절"": 5, ""손절"": 3, ""횡보정리"": 5, ""트레일링스탑"": 2}"
SUNDOG,-0.99,33.33,0.078,-1.52,3,2891.92,1.17,"{""트레일링스탑"": 2, ""손절"": 1}"
SXT,-1.31,0.0,0.0,-1.41,2,2050.56,7.83,"{""손절"": 2}"
TAO,-2.0,37.5,0.426,-3.14,8,7449.99,5.5,"{""동적익절"": 2, ""손절"": 5, ""트레일링스탑"": 1}"
TAVA,1.11,57.14,1.556,-1.53,7,6277.84,1.04,"{""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1}"
TEMCO,0.22,50.0,1.147,-2.05,2,2088.95,2.25,"{""손절"": 1, ""동적익절"": 1}"
THE,-0.13,60.0,0.82,-1.62,5,4580.02,4.45,"{""트레일링스탑"": 4, ""손절"": 1}"
TOWNS,1.28,57.14,1.812,-1.49,7,6698.69,3.24,"{""손절"": 2, ""동적익절"": 3, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
TRUMP,-1.83,33.33,0.401,-3.35,12,10787.57,11.51,"{""동적익절"": 1, ""손절"": 5, ""횡보정리"": 2, ""트레일링스탑"": 3, ""백테스트종료"": 1}"
TRX,-0.31,50.0,0.476,-0.7,2,2075.48,19.75,"{""동적익절"": 1, ""백테스트종료"": 1}"
TURBO,1.53,72.73,1.994,-1.47,11,9204.96,4.96,"{""손절"": 3, ""동적익절"": 4, ""트레일링스탑"": 4}"
VIRTUAL,0.33,59.09,1.086,-3.47,22,20425.02,9.64,"{""트레일링스탑"": 10, ""손절"": 5, ""동적익절"": 3, ""횡보정리"": 3, ""백테스트종료"": 1}"
WAXP,-0.2,40.0,0.903,-1.37,5,4578.37,3.28,"{""손절"": 2, ""동적익절"": 2, ""백테스트종료"": 1}"
WLD,-1.68,50.0,0.581,-3.63,14,13291.24,13.95,"{""트레일링스탑"": 2, ""손절"": 5, ""동적익절"": 4, ""횡보정리"": 2, ""백테스트종료"": 1}"
WLFI,-1.07,0.0,0.0,-1.25,1,806.6,132.0,"{""강제청산"": 1}"
XAI,-0.25,50.0,0.844,-1.78,4,3327.13,2.12,"{""손절"": 2, ""트레일링스탑"": 1, ""동적익절"": 1}"
XAN,-2.38,53.85,0.403,-3.57,13,12023.71,2.99,"{""동적익절"": 2, ""트레일링스탑"": 6, ""손절"": 4, ""백테스트종료"": 1}"
XAUT,0.0,0.0,,0.0,0,0.0,0.0,{}
XCN,-0.98,50.0,0.251,-1.25,4,3725.32,3.0,"{""손절"": 2, ""트레일링스탑"": 2}"
XLM,0.83,62.5,1.475,-1.26,8,7520.85,19.05,"{""동적익절"": 5, ""횡보정리"": 1, ""손절"": 2}"
XPLA,-2.31,25.0,0.247,-2.49,4,3692.22,0.96,"{""손절"": 3, ""동적익절"": 1}"
XRP,-3.43,25.0,0.276,-4.32,16,15747.46,17.83,"{""손절"": 4, ""동적익절"": 2, ""횡보정리"": 7, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
XTER,-4.66,33.33,0.067,-5.42,6,6133.2,1.47,"{""트레일링스탑"": 3, ""손절"": 3}"
XVS,0.0,0.0,,0.0,0,0.0,0.0,{}
ZETA,0.17,37.5,1.074,-1.89,8,7504.38,3.54,"{""동적익절"": 3, ""손절"": 4, ""트레일링스탑"": 1}"
