symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
ADA,0.17,33.33,1.551,-0.55,6,7004.21,1.68,"{""전략매도"": 6}"
BSV,-0.27,66.67,0.854,-2.76,6,8603.27,4.36,"{""전략매도"": 3, ""손절"": 1, ""횡보정리"": 1, ""백테스트종료"": 1}"
BTC,-1.58,18.75,0.05,-2.51,16,18627.06,2.97,"{""전략매도"": 15, ""백테스트종료"": 1}"
BTR,-2.64,33.33,0.508,-5.04,15,18588.76,1.7,"{""전략매도"": 12, ""손절"": 2, ""트레일링스탑"": 1}"
DAO,-0.45,0.0,0.0,-1.09,3,3943.63,4.14,"{""횡보정리"": 1, ""전략매도"": 1, ""백테스트종료"": 1}"
DOGE,-2.47,45.0,0.321,-4.37,20,24181.48,2.09,"{""손절"": 1, ""전략매도"": 18, ""백테스트종료"": 1}"
ENSO,-0.49,41.18,0.853,-2.0,17,20625.97,0.9,"{""전략매도"": 15, ""손절"": 2}"
ETH,-2.42,15.0,0.128,-3.67,20,24672.58,2.25,"{""전략매도"": 19, ""백테스트종료"": 1}"
GTC,-2.59,42.86,0.374,-5.76,7,9921.86,1.71,"{""트레일링스탑"": 1, ""손절"": 3, ""전략매도"": 2, ""백테스트종료"": 1}"
GWEI,-2.17,37.5,0.395,-2.89,8,10433.9,1.67,"{""손절"": 2, ""전략매도"": 5, ""백테스트종료"": 1}"
H,-2.7,31.25,0.509,-4.91,16,21608.98,2.0,"{""전략매도"": 12, ""손절"": 3, ""백테스트종료"": 1}"
HUMA,-4.54,50.0,0.387,-6.02,14,18739.53,1.29,"{""전략매도"": 9, ""손절"": 4, ""백테스트종료"": 1}"
ICP,-2.26,50.0,0.279,-3.89,12,15903.43,2.33,"{""전략매도"": 10, ""손절"": 2}"
ICX,-2.56,0.0,0.0,-3.22,2,3179.17,7.62,"{""손절"": 1, ""백테스트종료"": 1}"
KAIA,-1.41,25.0,0.066,-1.69,4,5541.27,2.9,"{""전략매도"": 3, ""백테스트종료"": 1}"
OGN,-0.16,50.0,0.984,-6.51,20,26094.27,1.14,"{""전략매도"": 7, ""손절"": 7, ""동적익절"": 3, ""트레일링스탑"": 2, ""백테스트종료"": 1}"
OXT,5.54,68.75,2.186,-2.52,16,20660.62,1.88,"{""전략매도"": 8, ""동적익절"": 3, ""손절"": 3, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
PEPE,0.02,28.57,1.026,-1.28,7,8517.09,1.43,"{""전략매도"": 7}"
POLA,8.03,53.33,2.811,-3.46,15,19661.14,5.72,"{""횡보정리"": 4, ""전략매도"": 5, ""동적익절"": 3, ""손절"": 3}"
RESOLV,-3.19,38.46,0.4,-5.86,26,31408.44,0.59,"{""전략매도"": 23, ""손절"": 2, ""트레일링스탑"": 1}"
SIGN,-1.33,25.0,0.154,-1.93,8,9650.04,0.52,"{""전략매도"": 8}"
SOL,-2.26,20.0,0.182,-3.23,15,19298.28,3.04,"{""전략매도"": 14, ""백테스트종료"": 1}"
SUI,-0.02,42.86,0.958,-0.73,7,8166.15,1.6,"{""전략매도"": 6, ""백테스트종료"": 1}"
SXT,-2.39,12.5,0.08,-3.3,8,10778.53,2.38,"{""손절"": 1, ""전략매도"": 7}"
TRUMP,-0.62,25.0,0.406,-1.11,8,9772.68,0.76,"{""전략매도"": 7, ""백테스트종료"": 1}"
TURBO,-1.79,57.14,0.698,-5.4,14,18703.43,3.65,"{""전략매도"": 11, ""손절"": 3}"
USDT,-0.63,0.0,0.0,-0.87,4,4650.76,5.4,"{""전략매도"": 3, ""횡보정리"": 1}"
VIRTUAL,-1.1,44.44,0.494,-2.98,18,22932.43,2.53,"{""횡보정리"": 1, ""전략매도"": 16, ""백테스트종료"": 1}"
WLD,-1.88,20.83,0.37,-3.81,24,29457.76,1.03,"{""전략매도"": 23, ""백테스트종료"": 1}"
XAI,-4.72,37.5,0.295,-6.35,8,11175.08,1.94,"{""손절"": 5, ""전략매도"": 3}"
XRP,-2.55,9.52,0.049,-3.89,21,25136.08,1.76,"{""전략매도"": 20, ""횡보정리"": 1}"
