날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-04-16 08:14:17,H,매수,159,1252.212556,"199,500",500,-,"816,737"
2026-04-16 10:19:48,H,매도,160,1252.212556,"199,953",500,-47,"816,190"
