symbol,total_pnl_rate,win_rate,profit_factor,mdd,total_trades,total_fee,avg_holding_hours,reason_counts
BTC,-0.41,44.83,0.857,-2.22,29,27073.13,7.9,"{""전략매도"": 23, ""횡보정리"": 4, ""동적익절"": 1, ""백테스트종료"": 1}"
XRP,-1.74,34.62,0.598,-3.57,26,25373.0,7.77,"{""전략매도"": 17, ""손절"": 2, ""동적익절"": 1, ""횡보정리"": 5, ""백테스트종료"": 1}"
ETH,-1.52,39.29,0.695,-3.71,28,28295.15,8.96,"{""횡보정리"": 5, ""동적익절"": 3, ""손절"": 1, ""전략매도"": 18, ""백테스트종료"": 1}"
SOL,-2.3,45.45,0.513,-3.47,22,22442.39,10.22,"{""손절"": 2, ""동적익절"": 1, ""전략매도"": 14, ""횡보정리"": 4, ""백테스트종료"": 1}"
DOGE,-2.4,40.0,0.553,-3.41,20,19106.43,10.52,"{""손절"": 4, ""동적익절"": 4, ""횡보정리"": 7, ""전략매도"": 4, ""백테스트종료"": 1}"
WLD,-3.75,38.46,0.42,-5.64,26,25739.44,8.46,"{""전략매도"": 15, ""손절"": 4, ""동적익절"": 2, ""횡보정리"": 4, ""백테스트종료"": 1}"
USDT,-1.5,6.67,0.004,-2.14,15,12879.11,8.87,"{""전략매도"": 9, ""횡보정리"": 6}"
TRUMP,-2.62,42.86,0.559,-5.58,21,21184.35,8.33,"{""횡보정리"": 5, ""전략매도"": 9, ""동적익절"": 3, ""손절"": 3, ""백테스트종료"": 1}"
ENSO,-5.95,38.1,0.285,-7.05,21,21934.31,8.65,"{""손절"": 6, ""트레일링스탑"": 1, ""횡보정리"": 3, ""전략매도"": 9, ""동적익절"": 1, ""백테스트종료"": 1}"
RENDER,2.74,75.0,3.993,-0.72,8,7985.43,4.94,"{""동적익절"": 4, ""횡보정리"": 1, ""전략매도"": 2, ""백테스트종료"": 1}"
MOODENG,-1.06,50.0,0.635,-2.73,6,6640.1,3.43,"{""전략매도"": 2, ""손절"": 2, ""동적익절"": 1, ""백테스트종료"": 1}"
VIRTUAL,-0.96,50.0,0.874,-3.81,28,29142.57,7.46,"{""전략매도"": 12, ""손절"": 7, ""동적익절"": 5, ""횡보정리"": 3, ""백테스트종료"": 1}"
PEPE,1.79,46.67,1.85,-2.33,15,13378.24,11.52,"{""손절"": 2, ""횡보정리"": 7, ""동적익절"": 5, ""전략매도"": 1}"
SUNDOG,-0.56,50.0,0.632,-2.01,4,4569.39,7.31,"{""횡보정리"": 2, ""손절"": 1, ""동적익절"": 1}"
SAHARA,0.92,50.0,12.116,-0.32,2,1689.76,6.75,"{""횡보정리"": 1, ""동적익절"": 1}"
PENGU,-5.21,48.0,0.398,-6.66,25,26952.77,8.25,"{""전략매도"": 10, ""손절"": 6, ""동적익절"": 3, ""횡보정리"": 4, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
SOLV,4.81,66.67,18.961,-0.99,6,5954.01,4.64,"{""동적익절"": 4, ""횡보정리"": 1, ""백테스트종료"": 1}"
RESOLV,1.26,48.65,1.081,-8.75,37,40865.01,5.2,"{""전략매도"": 6, ""횡보정리"": 4, ""동적익절"": 12, ""손절"": 13, ""트레일링스탑"": 1, ""백테스트종료"": 1}"
DOOD,2.18,66.67,6.107,-0.82,6,5471.42,6.57,"{""동적익절"": 4, ""횡보정리"": 1, ""백테스트종료"": 1}"
HUMA,-5.83,43.24,0.685,-10.83,37,39437.22,4.03,"{""손절"": 16, ""동적익절"": 10, ""전략매도"": 6, ""횡보정리"": 4, ""트레일링스탑"": 1}"
POLA,4.02,54.55,1.835,-3.06,11,11350.66,6.33,"{""전략매도"": 2, ""횡보정리"": 1, ""손절"": 4, ""동적익절"": 4}"
ACX,3.21,68.18,1.428,-5.21,22,22580.48,5.7,"{""손절"": 7, ""동적익절"": 10, ""횡보정리"": 2, ""전략매도"": 3}"
SUI,-2.74,44.0,0.594,-4.2,25,26181.25,7.84,"{""전략매도"": 10, ""손절"": 5, ""트레일링스탑"": 2, ""동적익절"": 2, ""횡보정리"": 5, ""백테스트종료"": 1}"
H,-5.28,40.62,0.587,-9.44,32,33617.73,5.48,"{""손절"": 12, ""동적익절"": 6, ""전략매도"": 12, ""횡보정리"": 2}"
IP,0.06,66.67,3.663,-0.54,3,2501.54,10.17,"{""횡보정리"": 1, ""전략매도"": 2}"
PONKE,0.37,50.0,1.385,-1.06,4,4592.56,6.46,"{""전략매도"": 3, ""백테스트종료"": 1}"
BERA,0.56,80.0,1.879,-0.89,5,5430.81,6.43,"{""전략매도"": 4, ""백테스트종료"": 1}"
BTR,-5.01,42.31,0.416,-7.08,26,24874.34,6.83,"{""전략매도"": 11, ""손절"": 7, ""횡보정리"": 5, ""동적익절"": 2, ""트레일링스탑"": 1}"
ADA,-3.98,32.14,0.414,-5.42,28,28650.13,7.64,"{""전략매도"": 22, ""횡보정리"": 2, ""손절"": 3, ""백테스트종료"": 1}"
WLFI,-0.62,50.0,0.36,-1.33,6,5817.79,6.61,"{""전략매도"": 3, ""횡보정리"": 2, ""백테스트종료"": 1}"
