날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-24 18:27:43,WLD,매수,480,415.661370,"199,500",500,-,"565,695"
2026-03-24 21:40:43,WLD,매도,475,415.661370,"197,459",494,"-2,535","562,660"
2026-03-25 03:00:07,WLD,매수,472,422.721436,"199,500",500,-,"744,335"
2026-03-25 03:03:08,WLD,매도,471,422.721436,"199,125",498,-872,"942,963"
2026-03-25 14:26:59,WLD,매수,477,418.281085,"199,500",500,-,"738,677"
2026-03-25 14:29:59,WLD,매도,475,418.281085,"198,704",497,"-1,293","936,884"
