날짜시간,종목,액션,가격,수량,거래금액,수수료,손익,보유현금
2026-03-20 04:18:02,THE,매수,234,850.862378,"199,500",500,-,"800,000"
2026-03-20 08:13:04,THE,매도,237,850.862378,"201,251",503,"1,248","1,000,748"
2026-03-20 09:07:19,THE,매수,232,858.197398,"199,500",500,-,"800,748"
2026-03-20 12:14:11,THE,매도,230,858.197398,"196,991",492,"-3,002","797,246"
